,AG,AL,C,CS,CU,FG,HC,I,J,JD,L,M,MA,NI,OI,P,PB,PP,RB,RU,SF,SR,TA,V,Y,ZC
2012-01-04,,-0.0053,0.012111,,-0.00399,,,,0.004768,,0.014737,-0.0045,,,,,-0.00486,,,-0.09414,,-0.08794,-0.00047,-0.02505,0.022022,
2012-01-05,,-0.00468,0.011668,,0.000986,,,,-0.00025,,0.019738,-0.012,,,,,-0.00519,,,-0.08981,,-0.06124,-0.01517,-0.02505,0.016208,
2012-01-06,,-0.00407,0.012111,,-0.00018,,,,0.021212,,0.015545,-0.02036,,,,,-0.0036,,,-0.07768,,-0.06501,-0.02114,-0.02575,0.011173,
2012-01-09,,0.000629,0.002842,,-0.00045,,,,0.026263,,0.024454,-0.02103,,,,,-0.0046,,,-0.07158,,-0.05928,-0.01386,-0.01873,0.01701,
2012-01-10,,0.0025,0.007002,,0.00588,,,,0.027778,,0.022882,-0.01473,,,,,-0.00033,,,-0.06667,,-0.04573,-0.02328,-0.02294,0.017925,
2012-01-11,,0.011236,0.003394,,0.0103,,,,0.041919,,0.020262,-0.01665,,,,,-0.00616,,,-0.0533,,-0.03925,-0.01864,-0.02505,0.01681,
2012-01-12,,0.011548,0.002321,,0.010181,,,,0.041919,,0.02393,-0.02075,,,,,0.000979,,,-0.03954,,-0.03427,-0.02341,-0.02294,0.015557,
2012-01-13,,0.012829,0.001407,,0.013848,,,,0.041919,,0.02393,-0.02553,,,,,-0.00032,,,-0.04716,,-0.03533,-0.01691,-0.02575,0.009737,
2012-01-16,,0.010938,-0.00464,,0.014604,,,,0.030303,,0.01607,-0.03279,,,,0.038723,0.00065,,,-0.0483,,-0.03367,-0.01006,-0.03278,-0.00269,
2012-01-17,,0.015878,-0.00775,,0.023524,,,,0.040909,,0.033071,-0.02668,,,,0.039616,0.000321,,,-0.02452,,-0.03217,0.004114,-0.01905,0.001984,
2012-01-18,,0.018979,-0.00602,,0.021652,,,,0.044444,,0.0415,-0.02509,,,,0.033247,0.004466,,,-0.01343,,-0.02844,-0.00742,-0.00733,0.000299,
2012-01-19,,0.017413,-0.00688,,0.015838,,,,0.04798,,0.043069,-0.02441,,,,0.033766,0.006319,,,-0.00352,,-0.02677,-0.00539,-0.00546,0.000523,
2012-01-20,,0.019279,-0.00342,,0.023926,,,,0.04798,,0.047263,-0.01501,,,,0.042857,0.010675,,,0.023736,,-0.01684,0.003371,0.000238,0.010374,
