Date,AP,CF,CY,FG,JR,LR,MA,OI,PM,RI,RM,RS,SF,SM,SR,TA,WH,ZC,A,AG,AL,AU,B,BB,BU,C,CS,CU,EG,FB,FU,HC,I,J,JD,JM,L,M,NI,P,PB,PP,RB,RU,SN,SP,V,WR,Y,ZN
2010-01-05,,697.7621371212399,,,,,,,,,,,,,1595.693579607313,828.4974351197474,,,507.75781628646547,,518.9026883722997,274.10217073201005,8.12403840463596,,,337.58258248908515,,569.4119773942238,,,734.0776525681734,,,,,,400.2524203549555,1092.6609721226434,,855.5945301367932,,,1175.5713504504947,837.0005973713519,,,573.7072424155024,62.75348595894893,897.8975442666051,744.4461028173899
2010-01-06,,791.7815355260566,,,,,,,,,,,,,1785.400235241387,748.0641683706017,,,934.1370349151135,,732.4247401610626,272.910241654651,9.797958971132712,,,425.8544352240563,,635.2401120836121,,,726.3690522041809,,,,,,508.0807022511286,1236.1787896578714,,880.2590527793509,,,1259.6570961972152,752.4320567333638,,,419.49493441518456,69.72804313904126,1020.886869344493,702.6506955806705
2010-01-07,,906.9961411163777,,,,,,,,,,,,,2078.8968228365734,821.175986010307,,,847.9587254106181,,803.5919362462517,295.1575850287436,17.029386365926403,,,426.9613565652049,,865.6743036500505,,,665.415659569265,,,,,,572.337313129242,1330.7366381068796,,993.8058160425506,,,1561.5345017001705,951.086746832275,,,450.3509742412022,79.44809626416482,1223.069090444199,807.7734831003058
2010-01-08,,745.5011737079963,,,,,,,,,,,,,2067.084903916624,744.8677735007738,,,733.8146905043534,,671.6085169203857,232.13358223230003,9.797958971132712,,,798.6488590112679,,816.7068017348698,,,552.9448435422831,,,,,,502.4121813809852,1138.4586070648331,,930.7523838271917,,,1326.4064233861354,1239.2651048101047,,,345.8207628237495,54.86346689738081,1081.9445457138734,875.7944964430868
2010-01-11,,655.2785667180027,,,,,,,,,,,,,2062.902809150252,680.7084544795958,,,567.3323540923785,,696.1336078656166,227.58734586966824,8.48528137423857,,,499.47972931841787,,645.9798758475375,,,577.7802350375098,,,,,,441.2844887371411,815.8921497354904,,838.9862930942317,,,1150.6493818709503,991.649131497628,,,324.13268887910704,51.749396131742444,852.6394314128335,696.2614451483006
2010-01-12,,620.9734293832547,,,,,,,,,,,,,1616.215332188134,876.4222726517166,,,676.7761816139808,,838.1157437967622,196.22436138257655,7.745966692414834,,,453.63421387721627,,608.1282759418443,,,514.1497836234107,,,,,,423.7050861153309,865.6454239467797,,706.7333301889759,,,1166.3610075786999,1061.9915253899158,,,302.1886827794846,56.231663678038196,840.3903854757026,753.1347820941481
2010-01-13,,567.1578263587659,,,,,,,,,,,,,2001.4684609056421,742.3449333025719,,,558.5445371678072,,748.2071905561988,223.1815404552984,8.48528137423857,,,488.745332458531,,750.8754890126592,,,550.3944040413202,,,,,,399.0263149217104,991.1780869248472,,745.4327602138237,,,1284.6174527850694,1119.933033712284,,,315.93986769637036,51.86520991955976,877.3858900164739,696.5744755587876
2010-01-14,,448.0468725479512,,,,,,,,,,,,,2154.288745734889,833.5370417683907,,,443.0778712596692,,517.3142178598999,165.17869111964777,8.602325267042627,,,335.94642430006604,,542.2895905325862,,,447.6851572254769,,,,,,579.0388587996491,836.0681790380495,,692.4694939129088,,,1086.9783806497717,903.8052887652295,,,235.79228146824485,43.15089802078283,883.577953550223,684.4895908631482
2010-01-15,,509.6783299297705,,,,,,,,,,,,,1948.316709367345,760.566893836433,,,564.6698150246744,,587.1217931570927,159.49294655250432,10.583005244258363,,,287.095802825468,,556.6057850939029,,,420.5068370431092,,,,,,461.56039691463997,1066.0168854197386,,768.851090914229,,,1204.9132748874501,1043.5391703237594,,,280.43894166110385,46.84015371452148,907.1438695157456,761.7676811206944
2010-01-18,,374.641161646715,,,,,,,,,,,,,1763.442655716369,766.2258152790207,,,505.5472282586465,,463.37673657619024,159.97499804656977,5.0990195135927845,,,268.87543584344036,,572.0611855387499,,,406.31514862234707,,,,,,616.2207396704529,898.8726272392546,,765.8263510744456,,,1135.085899833136,836.5333227074699,,,242.84974778656863,37.54996671103717,886.3678694537613,680.6482204487131
2010-01-19,,308.5741401997257,,,,,,,,,,,,,1540.706980577423,862.031321936738,,,414.3090633814327,,653.0941739136861,140.54892386638895,3.7416573867739413,,,246.2925090212855,,593.2722815031897,,,397.5952716016628,,,,,,521.428806262178,719.248218628312,,662.0725035825004,,,1164.9197397245873,985.5790176337969,,,248.88953372932338,41.400483088968905,808.6433082639094,865.1970873737382
2010-01-20,,499.15728983958553,,,,,,,,,,,,,1495.679778562243,854.4612337607833,,,587.2256806373508,,537.9628239943723,180.54362353736008,13.341664064126334,,,241.40836770915791,,630.3744918697139,,,389.6151947755631,,,,,,594.8024882261337,914.7152562409791,,792.5111986590473,,,1171.3223296770193,1065.750439831014,,,253.32192956789194,27.85677655436824,940.7645826666733,849.9717642369069
2010-01-21,,616.5030413550285,,,,,,,,,,,,,2077.582730001383,767.4542331631249,,,528.0871140257069,,462.38295816346863,198.3027987699619,9.486832980505138,,,291.9794513317675,,647.3051830473784,,,447.24266343898813,,,,,,605.7342651691416,836.1315685943212,,836.3707311952039,,,1028.0466915466436,1064.189832689638,,,221.98198125073125,41.90465367951393,976.5183049999627,801.5684624534575
2010-01-22,,644.9558124398911,,,,,,,,,,,,,1935.5185351734558,833.8740912152145,,,549.9418151041071,,610.3163114320312,188.67962264113208,6.324555320336759,,,450.34209219214677,,729.5916666190753,,,489.64885377176165,,,,,,657.0433775634605,892.1984084271838,,888.7991899186227,,,1178.6517721532514,1117.0810176527036,,,347.951145996101,41.92851058647326,1082.0194083287047,842.5532624113446
2010-01-25,,501.55956774843804,,,,,,,,,,,,,1468.9703877205966,682.0,,,586.2951475153108,,449.25716466184485,187.7658115845374,5.656854249492381,,,309.7870236146117,,591.6738966694408,,,382.2250645889147,,,,,,567.5103523284839,704.4856279584418,,897.6112744389968,,,1013.8599508807911,978.3567856359969,,,239.13176284216198,39.08964057138413,948.0337546733239,788.1674948892526
2010-01-26,,555.605975489825,,,,,,,,,,,,,1541.6530089485118,689.549128053977,,,691.4506489981769,,446.403405004935,194.9666638171767,8.366600265340756,,,296.0168914099329,,626.7726860672855,,,444.20941007592353,,,,,,529.5299802655181,845.8711485799714,,876.2008902072629,,,991.4837366290988,1041.1849019266463,,,245.99593492576255,39.74921382870358,898.7235392488616,945.3475551351471
2010-01-27,,421.5922200420686,,,,,,,,,,,,,1418.3053267896867,818.6134618976163,,,791.0903867447764,,392.5047770409935,168.22009392459628,6.164414002968976,,,284.4855005092527,,605.7028974670668,,,343.0131192826303,,,,,,627.2224485778551,706.9398842900293,,816.8329082499064,,,1266.4706865932587,1198.6108626238959,,,229.69980409221074,41.83300132670378,967.013960602431,875.9691775399406
2010-01-28,,453.5636669752109,,,,,,,,,,,,,1333.4759090437292,868.182008567328,,,642.3316900169258,,563.2690298605099,191.4210019825411,7.483314773547883,,,317.88991805340413,,773.0510979230286,,,546.0238090046989,,,,,,589.5235364258157,818.4986255333603,,796.2147951401054,,,1401.0132047914467,1194.8096082640113,,,255.48776878747051,48.16637831516918,933.2223743567232,701.5867729653974
2010-01-29,,401.95770921827085,,,,,,,,,,,,,1499.9626662020626,766.9615374971551,,,513.8462805158757,,534.1479195878236,167.6186147180557,8.12403840463596,,,289.03287010303865,,791.1561160731806,,,446.34291749729823,,,,,,483.7995452664254,749.4504653411058,,850.0047058693264,,,1155.2220565761372,1195.0330539361662,,,237.1160053644629,30.72458299147443,852.4458927110858,968.0661134447378
2010-02-01,,492.04471341535617,,,,,,,,,,,,,1724.1049852024673,772.7858694360294,,,647.6912844866758,,672.1056464574599,167.3977299726612,15.0996688705415,,,277.27242920997395,,842.119943950979,,,474.7525671336596,,,,,,528.9328879924182,1006.5227270161365,,762.3975340988453,,,1132.0830358237863,1233.2534208345014,,,194.57132368363023,29.631064780058107,815.6972477580147,1058.5027161042149
2010-02-02,,467.8418536214989,,,,,,,,,,,,,1815.9801761032525,774.5734309928272,,,628.4266066932557,,489.1441505323354,185.54244797350282,12.806248474865697,,,274.8454110950372,,724.4473755905256,,,398.28632916533803,,,,,,534.9055991481114,952.7790929696138,,681.30169528631,,,1723.8648438900307,1092.9711798579137,,,202.75601100830525,62.91263784010332,755.7592209162916,961.7931170475281
2010-02-03,,465.32569239189877,,,,,,,,,,,,,1802.086568397867,724.4528970195371,,,551.0734978203906,,580.9629936579438,151.0562809021856,18.0,,,340.1793644535189,,776.448324101482,,,395.4592267225535,,,,,,592.1992907797172,844.9923076572946,,692.1907251617866,,,1346.521444314943,1106.2178808896556,,,256.2732916243907,44.98888751680797,776.5230196201527,1087.4465504106397
2010-02-04,,487.54897189923395,,,,,,,,,,,,,1746.4798882323266,698.694496901185,,,509.15616464892184,,520.2191845751173,143.91664254004817,13.038404810405298,,,256.46052327795013,,731.5408395981731,,,320.8862726886272,,,,,,571.0516614107694,902.6970698966514,,670.9873322202142,,,1182.2825381439075,1110.5629203246433,,,241.7974358838406,36.0,729.198189794791,1131.2320716811382
2010-02-05,,388.90872965260115,,,,,,,,,,,,,1471.976901992691,645.2968309235681,,,745.617864592849,,477.2776969438233,189.77354926332595,20.92844953645635,,,204.33795535827406,,712.4759645068738,,,402.62389397550663,,,,,,514.398678069841,988.7011681999774,,730.4546529388392,,,1048.6677262126454,973.8275001251506,,,208.18261214616365,40.049968789001575,814.3328557782745,977.7617296662822
2010-02-08,,413.2819860579457,,,,,,,,,,,,,1592.3058751383164,596.2952288925344,,,483.4128670194868,,417.7176079602104,135.68345514468592,,,,178.30872104302694,,614.3972656189153,,,296.2701469942593,,,,,,488.07581378306384,754.1365924021987,,689.628885705928,,,834.3931926855588,1062.3539899675625,,,220.53117693423758,33.645207682521445,644.36945923903,933.6819586989994
2010-02-09,,318.36142982465697,,,,,,,,,,,,,1223.6919547010186,711.3030296575433,,,384.07551340849625,,416.9508364303878,127.5617497528158,,,,209.4134666156883,,710.1858911580827,,,316.6828066062318,,,,,,464.5621594576984,695.7916354771736,,594.8613283783036,,,850.2811299799614,1216.4398875406873,,,189.2987057536316,36.41428291206625,582.3967719690761,1022.7511916394916
2010-02-10,,393.74865079133923,,,,,,,,,,,,,1750.7666891964789,569.4049525601266,,,570.1947035881691,,333.16962646675944,123.42609124492276,5.830951894845301,,,241.89253812385365,,689.3895850678338,,,291.86640779644375,,,,,,403.95544308747714,865.7482313005323,,664.450148619142,,,953.6309558733924,990.1797816558365,,,189.16130682568252,32.0,636.8814646384365,946.028540795678
2010-02-11,,250.09198307822663,,,,,,,,,,,,,1643.869216209124,413.99516905393955,,,504.9237566207397,,306.8159057154632,109.72693379476162,10.0,,,177.65697284373613,,599.1043314815876,,,249.55560502621455,,,,,,322.27938190334174,838.4104006988463,,484.6565794456937,,,781.4179419491211,973.0991727465397,,,168.30923919975396,27.27636339397171,578.119364837401,897.4274343923302
2010-02-12,,223.52628480784983,,,,,,,,,,,,,1272.081758378761,511.5173506343651,,,374.4115382837447,,325.4166559965854,114.96086290559931,,,,142.96153328780437,,571.7324549122606,,,246.03251817595168,,,,,,239.5161789942383,549.5980349309848,,408.1445822254658,,,873.4552077811431,803.4176995809838,,,144.4506836259351,30.133038346638727,468.328944226171,676.8042553057716
2010-02-22,,418.447129276806,,,,,,,,,,,,,1569.458505345076,428.8099812271165,,,439.63621324909076,,312.2114667977459,136.61625086350452,16.3707055437449,,,185.00270268296083,,577.4980519447663,,,245.84954748788942,,,,,,268.26106687329786,799.799974993748,,678.0,,,1145.1261939192555,804.4637965750852,,,202.77573819370008,46.92547282660026,643.6567408176504,680.1014630185705
2010-02-23,,411.3173956933988,,,,,,,,,,,,,1749.2129658792264,552.0724590124017,,,621.7587956756221,,336.04166408348834,141.95774019052288,10.583005244258363,,,296.6175989384312,,614.9569090594885,,,234.46534925229358,,,,,,291.44810858881897,1175.0744657254704,,641.733589583715,,,1207.5164595151489,974.362355594673,,,175.82377541163197,45.8257569495584,688.0712172442617,671.08270727236
2010-02-24,,380.210468030537,,,,,,,,,,,,,1816.7322312327703,517.6504612187649,,,490.0550989429658,,307.13189349203054,129.3986089569745,9.38083151964686,,,195.90303724036542,,596.9690109210025,,,245.10405953390492,,,,,,329.8302593759402,948.5198996331073,,558.578553114958,,,1170.252109590066,997.9809617422569,,,173.68362041367055,34.66987164671943,553.9314036954395,669.4564959726658
