,AG,AL,C,CS,CU,FG,HC,I,J,JD,L,M,MA,NI,OI,P,PB,PP,RB,RU,SF,SR,TA,V,Y,ZC
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-05,,-1.945937554,0.573337855,,-0.537703748,,,,,,-0.013011325,-0.99024679,-0.568869427,,-0.808865757,-0.157692682,,,0.157534749,-0.06803252,,0.264066444,-0.18956638,-0.183396152,-0.158805582,
2012-01-06,,-2.799107373,1.246466663,,-0.627546316,,,,,,-0.014176322,-0.865138729,-0.417171161,,-0.660600809,-0.149289833,,,0.220916344,-0.023335014,,0.204164468,-0.079221691,-0.244402367,-0.11304231,
2012-01-09,,-4.133115269,0.812475772,,-0.518179104,,,,,,-0.03227969,-1.106009857,-0.031937659,,-0.987018339,-0.188430779,,,0.183039404,-0.067266229,,0.342576114,-0.089880248,-0.389808398,-0.154100161,
2012-01-10,,-3.389024138,0.676055933,,-0.55257523,,,,,,-0.037063257,-1.105468325,-0.089533272,,-0.934217903,-0.166040465,,,0.170119938,-0.105279523,,0.428259239,-0.081317701,-0.147833333,-0.186323195,
2012-01-11,,-1.171960937,0.349643425,,-0.600696021,,,,,,-0.054567381,-0.773052718,-0.04652416,,-1.177252252,-0.185146263,,,0.068329531,-0.052200149,,0.395435488,-0.066215587,-0.318306488,-0.248140088,
2012-01-12,,-1.009118402,0.932803308,,-0.273029876,,,,,,-0.031249914,-1.452592171,-0.071921908,,-1.066027911,-0.207610684,,,0.089934794,-0.065979778,,0.789618198,-0.120587572,-0.490922455,-0.257546115,
2012-01-13,,-2.015919371,0.939128896,,-0.488254771,,,,,,-0.025424061,-1.193284639,-0.09333693,,-1.298113208,-0.317600929,,,0.095074114,-0.092451287,,0.601744708,-0.105848311,-0.454154231,-0.384190183,
2012-01-16,,-1.983450655,0.368752128,,-0.197779591,,,,,,-0.020615668,-0.973854704,-0.136522346,,-0.576763485,-0.291740665,,,0.101142471,-0.104702014,,1.065945383,-0.150734739,-0.367256119,-0.26210603,
2012-01-17,,-1.59372392,0.530883071,,-0.052301549,,,,,,-0.021273891,-1.147850752,-0.109788681,,-0.528494301,-0.215582217,,,0.08434557,0.006419429,,0.898612959,-0.107320632,-0.302397757,-0.301396683,
2012-01-18,,-0.872282622,0.918780991,,-0.08243877,,,,,,-0.02603848,-1.220935825,-0.119410086,,-0.658956693,-0.226637707,,,-0.009401738,-0.03625282,,0.645421607,-0.197175505,-0.228710741,-0.230616903,
2012-01-19,,-0.954955178,1.194017721,,-0.295131896,,,,,,-0.026199252,-1.624539048,-0.112216884,,-0.914479721,-0.233389345,,,-0.027592467,-0.031108723,,1.431412133,-0.169663683,-0.231889633,-0.281912491,
2012-01-20,,-2.076489332,0.894379648,,-0.241748886,,,,,,-0.064193766,-1.33315447,-0.022077788,,-1.166259766,-0.281443703,,,-0.12227884,-0.024288809,,2.576830533,-0.128049091,-0.278925805,-0.300956361,
2012-01-30,,-1.496165383,1.113014753,,-0.372278685,,,,,,-0.045086931,-1.66992665,-0.056532663,,-1.120026673,-0.392607576,,,-0.106848622,-0.025120314,,1.031549242,-0.141194037,-0.304077535,-0.282045417,
2012-01-31,,-1.296493243,0.510388864,,-0.384872207,,,,,,-0.014181546,-1.409598224,-0.009001286,,-1.694078947,-0.391881463,,,-0.164037722,-0.033339432,,1.881624007,-0.056006886,-0.285646749,-0.323076762,
2012-02-01,,-1.346266893,0.550382423,,-0.22038186,,,,,,-0.019477068,-1.635727247,0.004251043,,-1.260514597,-0.34936489,,,-0.061127734,-0.029969069,,1.685112555,0.006637455,-0.482024671,-0.379862247,
2012-02-02,,-2.257543598,0.739782016,,-0.839159099,,,,,,-0.012386396,-0.842564919,0.125258799,,-0.898772541,-0.435113814,,,-0.055156685,-0.013977665,,2.324975917,0.072255072,-0.396590301,-0.321900421,
2012-02-03,,-1.764041161,0.7577558,,-0.857312843,,,,,,-0.007600635,-0.934048787,0.110826065,,-0.363565478,-0.220444972,,,-0.092922553,-0.001105683,,1.794638408,0.002493263,-0.782568468,-0.33289272,
2012-02-06,,-2.145189985,0.313633989,,-1.201177712,,,,,,-0.008640253,-1.323195632,0.121613394,,-0.735036332,-0.387815097,,,-0.112345329,0.00188232,,2.093184769,0.045010443,-0.147393383,-0.461728773,
2012-02-07,,-2.369103553,0.473878711,,-0.587456958,,,,,,-0.021928384,-0.662075836,0.050205186,,-0.610494218,-0.330218595,,,-0.028100554,0.011838943,,1.694180709,-0.031969361,-0.27507576,-0.401937185,
2012-02-08,,-2.463674367,0.563894627,,-0.835151979,,,,,,-0.012738757,-0.788361543,0.098343685,,-0.63973654,-0.255914924,,,0.083678843,0.042901477,,1.103980895,0.054235506,-0.344488609,-0.330964029,
2012-02-09,,-1.860917556,0.490144023,,-0.725830003,,,,,,-0.037643174,-0.662999916,0.067051071,,-0.490655174,-0.219638847,,,0.086277453,0.039361907,,1.939299945,-0.019670428,-0.418858326,-0.265073134,
2012-02-10,,-2.981276663,0.678684581,,-0.707830451,,,,,,-0.024117695,-0.907731321,0.028586071,,-0.594721863,-0.133456362,,,0.066524059,0.023655505,,0.595523779,0.079119147,-0.456396071,-0.292004325,
2012-02-13,,-2.724183887,0.658705223,,-0.77996079,,,,,,-0.021017194,-0.992067315,0.067363913,,-0.832377592,-0.204687561,,,0.120186338,0.035010721,,2.01331879,0.102495538,-0.51996539,-0.364589472,
2012-02-14,,-2.118199827,0.627441333,,-0.358939464,,,,,,-0.040017444,-0.903416697,0.091800878,,-0.388903326,-0.084975038,,,0.067925859,0.005952216,,1.040990966,0.124498047,-0.45090974,-0.267335759,
2012-02-15,,-2.161187366,0.480463922,,-0.537821617,,,,,,-0.046147884,-0.746031809,0.064436282,,-1.249628844,-0.085128956,,,0.125108365,0.018885423,,1.548315143,0.189144764,-0.635158148,-0.289932568,
2012-02-16,,-2.25534714,0.501000897,,-0.633982155,,,,,,-0.025716842,-1.06737132,0.036599558,,-0.903413382,-0.100091772,,,0.003180326,-0.007318385,,1.53669542,0.005474775,-0.301153412,-0.331729471,
2012-02-17,,-2.019147833,0.548315642,,-0.364019767,,,,,,-0.021139411,-0.577046949,0.011627512,,-0.869512107,-0.044970382,,,0.038905197,-0.022701665,,1.088059226,0.038986766,-0.275795939,-0.176915224,
2012-02-20,,-2.445325215,0.787912818,,-0.667966615,,,,,,-0.007931269,-0.471073656,0,,-0.879025866,-0.062653707,,,-0.075823446,-0.02195111,,1.545469207,-0.005451243,-0.609251078,-0.223833043,
2012-02-21,,-3.43146621,0.566278692,,-0.615605612,,,,,,-0.032260991,-0.690984495,-0.01655481,,-0.756523821,-0.021113014,,,0.003040576,-0.030769406,,2.598781389,-0.207392247,-0.402550152,-0.194999008,
2012-02-22,,-3.11419809,0.683654574,,-0.753765228,,,,,,-0.023073707,-0.676064607,-0.041357486,,-0.567244497,-0.003309137,,,-0.207363133,0.009090071,,2.060546985,-0.204462557,-0.374947944,-0.19013304,
2012-02-23,,-0.99588928,0.593648404,,-1.038085016,,,,,,-0.070103699,-0.906705131,-0.05475816,,-0.507559481,0.068514644,,,-0.184814932,-0.010003374,,1.779127486,-0.266208575,-0.398735186,-0.213733177,
2012-02-24,,-2.838295709,0.87099397,,-0.977540243,,,,,,-0.04328674,-1.060848726,-0.099879844,,-0.767117623,0.068794049,,,-0.249283075,0.006862543,,1.916855143,-0.118123441,-0.503582942,-0.216152502,
2012-02-27,,-3.676199099,0.63266825,,-0.885255513,,,,,,-0.035065033,-0.805585882,-0.017852188,,-0.993244194,0.085421848,,,-0.318692099,0.015015318,,2.180215125,-0.166489245,-0.542026907,-0.23421414,
2012-02-28,,-1.525313176,0.513907645,,-0.719171207,,,,,,-0.006796907,-0.746300705,-0.034065934,,-1.082130452,0.097220007,,,-0.226860275,-0.079331211,,1.157061194,-0.234953529,-0.416859818,-0.303658297,
2012-02-29,,-3.160286641,0.465462073,,-0.971274584,,,,,,-0.022974494,-0.731825697,-0.025044595,,-1.366246851,0.135551809,,,-0.434407058,-0.080276939,,0.982033939,-0.448376354,-0.485310835,-0.375013093,
2012-03-01,,-5.535511632,0.401866272,,-1.002854708,,,,,,-0.029219557,-0.698471501,-0.037417614,,-1.415183246,0.109634118,,,-0.384180846,-0.100378994,,2.059645515,-0.407616594,-0.842197909,-0.411571683,
2012-03-02,,-3.546178756,0.509274909,,-1.216493327,,,,,,0.000413114,-0.441577965,-0.064323903,,-0.688468158,0.067315598,,,-0.284627969,-0.012850184,,1.392656397,-0.192552136,-0.291044619,-0.244471877,
2012-03-05,,-3.114572031,0.550492256,,-0.778411253,,,,,,-0.009805662,-0.377703488,-0.05025737,,-1.360826734,0.148876267,,,-0.47777139,-0.040385205,,2.286619358,-0.255819123,-0.549085963,-0.294713237,
2012-03-06,,-4.46295698,0.451797177,,-0.915874334,,,,,,-0.025070248,-0.263585851,-0.066415389,,-1.571862129,0.132800533,,,-0.415131538,-0.134767802,,1.763953659,-0.340271126,-0.655672922,-0.230277493,
2012-03-07,,-2.957544841,0.414579834,,-1.087160936,,,,,,-0.011374855,-0.298439134,-0.079511445,,-1.176358673,0.217382736,,,-0.626201207,-0.177692593,,1.894660505,-0.257199594,-0.615812527,-0.328447499,
2012-03-08,,-2.622663093,0.410249246,,-0.783581226,,,,,,-0.011975683,-0.139440904,-0.059536638,,-1.4,0.171987502,,,-0.622473812,-0.169487886,,2.523093863,-0.060631233,-0.637726624,-0.271892352,
2012-03-09,,-4.487484821,0.468124503,,-1.467717458,,,,,,-0.007133302,-0.166236293,-0.062022472,,-1.382545932,0.106519624,,,-0.799727718,-0.285631465,,2.639010268,-0.070774484,-0.859817784,-0.238892732,
2012-03-12,,-3.229311464,0.361923283,,-0.977406387,,,,,,0.007104041,-0.223256498,-0.042994221,,-0.510037962,0.043772891,,,-0.626037762,-0.05398341,,2.132617862,-0.232503966,-0.633126171,-0.103150443,
2012-03-13,,-3.536444302,0.368148833,,-1.078056451,,,,,,0.018285209,-0.283163506,-0.035013876,,-1.105931128,0.041248297,,,-0.863361442,-0.056584475,,2.722356175,0.008422969,-0.856827633,-0.21424163,
2012-03-14,,-2.833507859,0.394915501,,-0.782851141,,,,,,0.033324779,-0.322151469,-0.060282172,,-0.735731734,0.010547174,,,-0.964557246,0.000206915,,1.23040836,0.055258448,-0.871449283,-0.224356824,
2012-03-15,,-1.954326989,0.38829572,,-0.661701903,,,,,,0.023740395,-0.248313849,-0.059271327,,-0.554917506,0.038755044,,,-0.562398226,-0.023722804,,1.482421975,0.031334991,-0.681168319,-0.147549692,
2012-03-16,,-4.460948776,0.245676051,,-0.741869332,,,,,,0.022104943,-0.345206633,-0.102399334,,-0.661316212,0.027993806,,,-0.446602948,-0.034185859,,0.861067533,0.084210934,-0.537685795,-0.169287769,
2012-03-19,,-5.578741959,0.172169257,,-0.781349285,,,,,,0.017196591,-0.312366668,-0.099693172,,-0.643096107,0.086764422,,,-0.770746883,-0.038130607,,0.866461753,-0.005028348,-0.363856488,-0.180162968,
2012-03-20,,-3.836702574,0.198079779,,-0.884540376,,,,,,0.025362884,-0.382427422,-0.130977413,,-0.723568903,0.115102439,,,-0.894454319,-0.090186835,,3.127812443,-0.032144982,-0.560700852,-0.194526453,
2012-03-21,,-2.927592473,0.269753948,,-0.930388095,,,,,,0.027961681,-0.312367688,-0.059929049,,-0.543788884,0.069803347,,,-0.736749178,-0.048083404,,1.119008622,-0.098164001,-0.631704072,-0.180031642,
2012-03-22,,-3.558362514,0.166344801,,-1.105657548,,,,,,0.028732337,-0.547667712,-0.086618275,,-0.899495719,0.076493762,,,-0.291388678,-0.048269301,,0.897221401,-0.219644616,-0.994915254,-0.230824309,
2012-03-23,,-4.708678468,0.308099261,,-0.90854691,,,,,,0.026636936,-0.299958581,-0.059147637,,-1.056526415,0.033577757,,,-0.623469427,-0.007648019,,2.597942357,-0.234459555,-0.927804811,-0.154433121,
2012-03-26,,-4.137075718,0.164793689,,-1.323635294,,,,,,0.026279508,-0.117412136,-0.074613117,,-0.502787879,0.066217621,,,-0.626744432,-0.039741212,,1.800053574,-0.173964243,-1.090284517,-0.166664442,
2012-03-27,,-2.526135235,0.122516932,,-1.347837391,,,,,,0.035493982,-0.145057192,-0.063090751,,-0.569848423,0.017736694,,,-0.860981133,-0.078672586,,2.857803172,-0.177055125,-0.832421851,-0.220671774,
2012-03-28,,-4.20111139,0.146521727,,-0.926735409,,,,,,0.034980161,-0.141913963,-0.04600443,,-0.722718083,0.01625306,,,-0.611803711,-0.096663662,,1.060850789,-0.157795488,-0.650659205,-0.320458695,
2012-03-29,,-4.46836318,0.076504962,,-1.590251993,,,,,,0.025281171,-0.113921191,-0.0488921,,-0.332640565,-0.022905554,,,-0.604126349,-0.057734068,,3.324389493,-0.044240583,-0.351385094,-0.178081612,
2012-03-30,,-2.705067768,0.103049753,,-1.109198677,,,,,,0.028052167,-0.151933706,-0.028228907,,-0.260110922,-0.050164724,,,-0.287866155,0.007234193,,1.659341684,0.083916845,-0.422021703,-0.163004229,
2012-04-05,,-3.290528398,0.14645385,,-0.986021399,,,,,,0.031571698,-0.220998427,-0.061098076,,-0.378725261,-0.106876822,,,-0.259828766,-0.020506013,,2.248738011,0.210628075,-0.946358302,-0.256778278,
2012-04-06,,-2.611804808,0.101763297,,-1.046389671,,,,,,0.047090361,-0.093142668,-0.070899575,,-0.395309409,-0.052597484,,,-0.53481959,-0.008832243,,0.915303493,0.196502579,-0.549069316,-0.113826172,
2012-04-09,,-3.149450564,0.147959783,,-1.311919705,,,,,,0.016876941,-0.090954428,-0.075152157,,-0.305898649,-0.093486213,,,-0.481249563,-0.011994044,,1.734378851,0.117482472,-0.525066498,-0.124313986,
2012-04-10,,-4.102535783,0.172086495,,-1.314366895,,,,,,-0.009489908,-0.11780733,-0.048092739,,-0.413911995,-0.114733883,,,-0.445613341,-0.012460095,,0.099862954,0.173124274,-0.511536445,-0.134572096,
2012-04-11,,-3.007507877,0.208823766,,-1.109086095,,,,,,0.012058546,-0.18298328,-0.076416487,,-0.578787879,-0.102286057,,,-0.450974927,-0.000185643,,0.543775548,0.127092299,-0.551072628,-0.163703115,
2012-04-12,,-2.036242623,0.16078287,,-0.713565212,,,,,,0.031826753,-0.214727962,-0.039885633,,-0.774276466,-0.093324251,,,-0.312313064,0.045866579,,0.426421478,0.240567454,-0.59831318,-0.194098381,
2012-04-13,,-3.5470521,0.303261664,,-1.131052556,,,,,,0.034071174,-0.357073481,-0.032192263,,-0.661017603,-0.122295437,,,-0.210279924,0.047020571,,0.303914173,0.068022322,-0.458796882,-0.2392959,
2012-04-16,,-2.861855612,0.130983486,,-1.154132847,,,,,,0.054759955,-0.29470838,-0.00960764,,-0.590917862,-0.081017509,,,-0.203362652,0.085241358,,0.745409377,0.013290485,-0.591173389,-0.182136969,
2012-04-17,,-1.967443496,0.268598065,,-0.64470539,,,,,,0.094582658,-0.277047281,-0.019019966,,-0.617038938,-0.091548767,,,0.004829789,0.100995905,,0.77352438,0.018851014,-0.776137761,-0.181844557,
2012-04-18,,-2.584666012,0.304261109,,-0.935703214,,,,,,0.083579956,-0.149759515,-0.002234169,,-0.456013625,-0.136247728,,,0.023763473,0.048678687,,0.647500911,0.02855613,-0.773695629,-0.237650877,
2012-04-19,,-1.600140415,0.226810851,,-0.764143621,,,,,,0.034251774,-0.076435423,0.003370475,,-0.274173357,-0.056525885,,,-0.003131251,0.0506391,,0.599316799,0.330509953,-0.565784885,-0.101319461,
2012-04-20,,-2.175823792,0.16526227,,-1.583323407,,,,,,0.042107616,-0.147514401,0.000700511,,-0.698246971,-0.178335826,,,0.114353686,0.104258299,,0.593607785,0.260517199,-0.763487099,-0.204002757,
2012-04-23,,-3.495217103,0.265983945,,-1.083189851,,,,,,0.023101736,-0.149530181,-0.017379164,,-0.837048504,-0.184884839,,,0.057548898,0.106114232,,0.249000472,0.043972455,-0.430960275,-0.193983384,
2012-04-24,,-2.553417818,0.254839114,,-0.746849557,,,,,,0.046596143,-0.14600926,0.012496711,,-0.358770302,-0.200427572,,,0.132507905,0.073190055,,0.326913059,0.05044721,-0.62221432,-0.195562179,
2012-04-25,,-1.422866968,0.330631396,,-0.8044628,,,,,,0.014689778,-0.140377472,9.38E-05,,-0.51103571,-0.132296029,,,0.194433346,-0.01248061,,0.361880483,-0.003951681,-0.663781057,-0.180378499,
2012-04-26,,-1.638506,0.266103557,,-0.927675755,,,,,,0.022747916,-0.160007556,0.004611492,,-0.473080943,-0.130976917,,,0.171746277,0.03914793,,0.403518756,-0.015251236,-1.250016601,-0.185768982,
2012-04-27,,-2.333801979,0.638718467,,-0.507957019,,,,,,0.042769916,-0.287818191,0.006825097,,-0.210952526,-0.112729679,,,0.169815329,0.172348834,,0.400634498,-0.087467449,-0.856008919,-0.164336365,
2012-05-02,,-1.59153056,0.634228188,,-0.59921383,,,,,,0.031932699,-0.126851556,-0.01305483,,-0.629136244,-0.299137986,,,0.372908341,0.079112087,,0.202405332,-0.296071424,-0.816753927,-0.258015001,
